"year","agency","name_of_not_for_profit"
"2021","Borough President - Brooklyn","Black Veterans for Social Justice (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-BFFY at Our Lady of Solace (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-Our Lady of Miracles-Canarsie Cluster Center (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-St. Marks (Food Pantry)"
"2021","Borough President - Brooklyn","Chance for Children (Food Pantry)"
"2021","Borough President - Brooklyn","Open Door (Food Pantry)"
"2021","Borough President - Brooklyn","Mt. Hebron Church of Christ (Food Pantry)"
"2021","Borough President - Brooklyn","Iglesia de Dios de la Profecia (Food Pantry)"
"2021","Borough President - Brooklyn","International Pentecostal (Food Pantry)"
"2021","Borough President - Brooklyn","Isaiah's Temple of Mt. Hope (Food Pantry)"
"2021","Borough President - Brooklyn","Kingsborough Community College (Food Pantry)"
"2021","Borough President - Brooklyn","Las Maravillas Del Exodo (Food Pantry)"
"2021","Borough President - Brooklyn","Masbia of Boro Park (Food Pantry)"
"2021","Borough President - Brooklyn","Masbia of Flatbush (Food Pantry)"
"2021","Borough President - Brooklyn","National Comm. For Furtherance of Jewish Ed. (Food Pantry)"
"2021","Borough President - Brooklyn","New Hope Pentecostal Church of Jesus Christ (Food Pantry)"
"2021","Borough President - Brooklyn","Our Lady of Refuge RC Church (Food Pantry)"
"2021","Borough President - Brooklyn","Bensonhurst Council Jewish Org. (Food Pantry)"
"2021","Borough President - Brooklyn","Bethany House/St. Christopher (Food Pantry)"
"2021","Borough President - Brooklyn","Blessed Sacrament Church (Food Pantry)"
"2021","Borough President - Brooklyn","Brownsville SDA Temple (Food Pantry)"
"2021","Borough President - Brooklyn","Northeast Brooklyn Social Services (Food Pantry)"
"2021","Borough President - Brooklyn","Our Lady of Mercy Church (Food Pantry)"
"2021","Borough President - Brooklyn","Metropolican Council on Jewish Poverty (Food Pantry)"
"2021","Borough President - Brooklyn","St. Phili's Episcopal/St. Benedict's Pantry (Food Pantry)"
"2021","Borough President - Brooklyn","Cathedral of Joy CDC (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-Brooklyn West Family Center (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-Our Lady of Angels Human Services (Food Pantry)"
"2021","Borough President - Brooklyn","CCNS-St. John's Food Pantry"
"2021","Borough President - Brooklyn","Make the Road New York (Food Pantry)"
"2021","Borough President - Brooklyn","More Grace Redemptive Center Inc. (Food Pantry)"
"2021","Borough President - Brooklyn","Salvation Army Bay Ridge Corps (Food Pantry)"
"2021","Borough President - Brooklyn","Sephardic Bikur Holim (Food Pantry)"
"2021","Borough President - Brooklyn","Shalom Senior Center (Food Pantry)"
"2021","Borough President - Brooklyn","Solid Rock Baptist Church (Food Pantry)"
"2021","Borough President - Brooklyn","Arts East New York"
"2021","Borough President - Brooklyn","Big Apple Leadership Academy"
"2021","Borough President - Brooklyn","BK Alliance Drumline"
"2021","Borough President - Brooklyn","BK Arts Exchange"
"2021","Borough President - Brooklyn","BK Music and Leadership Institute Inc."
"2021","Borough President - Brooklyn","Black Restaurant Week"
"2021","Borough President - Brooklyn","Black VegFest"
"2021","Borough President - Brooklyn","Bloodline Dance Theatre"
"2021","Borough President - Brooklyn","Brooklyn Arts Council"
"2021","Borough President - Brooklyn","Brooklyn Book Festival"
"2021","Borough President - Brooklyn","Brooklyn Saints Football"
"2021","Borough President - Brooklyn","Bushwick Film Institute"
"2021","Borough President - Brooklyn","Central Brooklyn Jazz Consortium"
"2021","Borough President - Brooklyn","CLACC-C (Carlos Lezama Archives and Caribbean Cultural Center)"
"2021","Borough President - Brooklyn","Community Dialogue"
"2021","Borough President - Brooklyn","Darkness RISING"
"2021","Borough President - Brooklyn","Divine Angels Wellness Center"
"2021","Borough President - Brooklyn","Greenpoint Film Festival"
"2021","Borough President - Brooklyn","Health Jox"
"2021","Borough President - Brooklyn","Infantry Basketball"
"2021","Borough President - Brooklyn","ISCP"
"2021","Borough President - Brooklyn","Jamel Gaines Creative Outlet"
"2021","Borough President - Brooklyn","Jersey Mann NYC Bball Tournament Inc."
"2021","Borough President - Brooklyn","Leaders Are Born"
"2021","Borough President - Brooklyn","Love Hopes Anchor"
"2021","Borough President - Brooklyn","Make Music NY"
"2021","Borough President - Brooklyn","Mastermind Connect"
"2021","Borough President - Brooklyn","National Alliance on Mental Illness"
"2021","Borough President - Brooklyn","Opportunity Music Project Foundation"
"2021","Borough President - Brooklyn","Parachute Festival"
"2021","Borough President - Brooklyn","PASWO - Pakistani American Women's Org"
"2021","Borough President - Brooklyn","Roc Wit Me"
"2021","Borough President - Brooklyn","Soul Tigers"
"2021","Borough President - Brooklyn","Teatro SEA"
"2021","Borough President - Brooklyn","Thelma Hill Performing Arts Center"
"2021","Borough President - Brooklyn","Willie Mae Rock Camp"
"2021","Borough President - Brooklyn","You Can Thrive"
"2021","Borough President - Manhattan","Nontraditional Employment for Women"
"2021","Borough President - Manhattan","Jewish Community Relations Council"
"2021","Borough President - Manhattan","American Institute of Architects, New York"
"2021","Borough President - Manhattan","Little Sisters of the Assumption Health Services"
"2021","Borough President - Manhattan","New York Building Congress"
"2021","Borough President - Manhattan","ChShaMa Space for Artists"
"2021","Borough President - Queens","110 Precinct Community Council, Inc."
"2021","Borough President - Queens","Bethesda Missionary Baptist Church"
"2021","Borough President - Queens","Chinese Business Association of New York, Inc."
"2021","Borough President - Queens","Cub Scouts Pack 90"
"2021","Borough President - Queens","Daral-Uloom, Inc."
"2021","Borough President - Queens","Eastern Baptist Association of New York"
"2021","Borough President - Queens","Endangered Language Alliance"
"2021","Borough President - Queens","Greek American Educational Public Information Systems"
"2021","Borough President - Queens","Hellenic Public Radio (COSMOS FM)"
"2021","Borough President - Queens","Holy Cross High School"
"2021","Borough President - Queens","Italian Charities of America, Inc."
"2021","Borough President - Queens","Lions Club International"
"2021","Borough President - Queens","Living Word Foundation Ministries, Inc."
"2021","Borough President - Queens","Michael D. Richardson Foundation"
"2021","Borough President - Queens","Mithila Center, USA"
"2021","Borough President - Queens","Museum of the Moving Image"
"2021","Borough President - Queens","Queens Chamber of Commerce"
"2021","Borough President - Queens","United Sherpa Association, Inc."
"2021","Borough President - Staten Island","No organizations to report"
"2021","Buildings (Department of)","No organizations to report"
"2021","Business Integrity Commission","No organizations to report"
"2021","Campaign Finance Board","No organizations to report"
"2021","Chief Medical Examiner (Office of)","No organizations to report"
"2021","City Clerk (Office of)","No organizations to report"
"2021","City Council District 11 (Eric Dinowitz)","No organizations to report"
"2021","City Council District 12 (Kevin C. Riley)","No organizations to report"
"2021","City Council District 25 (Shekar Krishnan)","No organizations to report"
"2021","City Council District 29 (Lynn Schulman)","No donations to report"
"2021","City Council District 35 (Crystal Hudson)","No donations to report"
"2021","City Council Speaker (Adrienne Adams)","No donations to report"
"2021","City Planning (Department of)","Urban Design Forum"
"2021","Citywide Administrative Services (Department of)","New York Blood Center"
"2021","Civil Service Commission","No donations to report"
"2021","Civilian Complaint Review Board","No organizations to report"
"2021","Collective Bargaining (Office of)","No organizations to report"
"2021","Comptroller","Islamic Circle of North America Relief Community Resource Center Grand Opening"
"2021","Comptroller","Northeastern Conference of Seventh Day Adventist"
"2021","Comptroller","NYIC Annual Legislative breakfast"
"2021","Conflicts of Interest Board","No organizations to report"
"2021","Consumer and Worker Protection (Department of)","No organizations to report"
"2021","Correction (Department of)","No organizations to report"
"2021","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2021","Design and Construction (Department of)","No organizations to report"
"2021","District Attorney - Bronx","No organizations to report"
"2021","District Attorney - Kings Co","No organizations to report"
"2021","District Attorney - New York Co","No organizations to report"
"2021","District Attorney - Queens Co","No organizations to report"
"2021","District Attorney - Richmond Co","No organizations to report"
"2021","Economic Development Corporation","No organizations to report"
"2021","Education (Department of)","No organizations to report"
"2021","Employees' Retirement System","No organizations to report"
"2021","Environmental Control Board","No organizations to report"
"2021","Environmental Protection (Department of)","No organizations to report"
"2021","Equal Employment Practices Commission","No organizations to report"
"2021","Finance (Department of)","No organizations to report"
"2021","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2021","Fire Department","FDNY Foundation"
"2021","Fire Pension Fund","No organizations to report"
"2021","Health and Hospitals Corporation","No organizations to report"
"2021","Health and Mental Hygiene (Department of)","No donations to report"
"2021","Homeless Services (Department of)","No donations to report"
"2021","Housing Authority","The Nature Conservancy"
"2021","Housing Authority","Corporation for Supportive Housing"
"2021","Housing Authority","Fortune Society"
"2021","Housing Development Corporation","No organizations to report"
"2021","Housing Preservation and Development (Department of)","The Mayor's Fund to Advance New York City"
"2021","Human Resources Administration","No organizations to report"
"2021","Human Rights Commission","No organizations to report"
"2021","Independent Budget Office","No organizations to report"
"2021","Investigation (Department of)","No organizations to report"
"2021","Labor Relations (Office of)","No organizations to report"
"2021","Landmarks Preservation Commission","No organizations to report"
"2021","Law Department","No organizations to report"
"2021","Management and Budget (Office of)","No donations to report"
"2021","Mayor's Office - MOCEJ","Columbia University"
"2021","Mayor's Office - MOCEJ","US Geological Service"
"2021","Mayor's Office - MOCEJ","Brooklyn College – CUNY"
"2021","Mayor's Office - MOCEJ","NYU"
"2021","Mayor's Office - MOCEJ","K2 Communications/Cool Cities: Blueprint for a Sustainable Future"
"2021","Mayor's Office - MOCEJ","Bright Power"
"2021","Mayor's Office - MOCEJ","Solar One"
"2021","Mayor's Office - MOCEJ","Maalka"
"2021","Mayor's Office - MOCEJ","Fairstead"
"2021","Mayor's Office - MOCEJ","Gridmarket, LLC"
"2021","Mayor's Office - MOCEJ","City Tech and CUNY"
"2021","Mayor's Office - MOCEJ","City College of New York"
"2021","Mayor's Office - MOCEJ","CUNY Professor Melanie Villatoro"
"2021","Mayor's Office - MOCEJ","GI Energy"
"2021","Mayor's Office - MOCEJ","Building Energy Exchange"
"2021","Mayor's Office - MOCEJ","CUNY BEST Center"
"2021","Mayor's Office - MOCEJ","Newtown Creek Alliance"
"2021","Mayor's Office - MOCEJ","The City of London"
"2021","Mayor's Office - MOCEJ","The Climate Group"
"2021","Mayor's Office - MOCEJ","Extreme Heat Alliance"
"2021","Mayor's Office - MOCEJ","Youth Design Center"
"2021","Mayor's Office - MOCEJ","Fund for Public Health"
"2021","Mayor's Office - MOCEJ","Rocky Mountain Institute"
"2021","Mayor's Office - MOFP","CUNY Urban Food Policy Institute"
"2021","Mayor's Office - MOFP","The Campaign Against Hunger"
"2021","Mayor's Office - MOFP","Mount Sinai Institute for Health Equity Research"
"2021","Mayor's Office - NYC Service","Mayor's Fund"
"2021","Mayor's Office - OCMH","Next Step Health Tech"
"2021","Mayor's Office - OCMH","A partnership of George Washington University and The New School"
"2021","Mayor's Office of Contract Services","No organizations to report"
"2021","Mayor's Office of Media and Entertainment","A Leader’s Help Inc."
"2021","Mayor's Office of Media and Entertainment","New York City Chapter of the American Foundation for Suicide Prevention"
"2021","Mayor's Office of Media and Entertainment","Sound Mind Live Inc."
"2021","Mayor's Office of Media and Entertainment","Sweet Relief Musicians Fund"
"2021","Parks & Recreation (Department of)","Friends of the Highline (FHL)"
"2021","Parks & Recreation (Department of)","The Mayors Fund to Advance New York City"
"2021","Parks & Recreation (Department of)","Narrows Botanical Garden"
"2021","Parks & Recreation (Department of)","Metropolitan Museum of Art (MET)"
"2021","Parks & Recreation (Department of)","Prospect Park Alliance  (PPA)"
"2021","Parks & Recreation (Department of)","New Yorker’s for Parks (NY4P)"
"2021","Parks & Recreation (Department of)","American institute of Certified Planners (AICP)"
"2021","Police Department","African Law Enforcement Organization"
"2021","Police Department","Association for a Better New York (ABNY)"
"2021","Police Department","Bethel Gospel Assembly, Inc."
"2021","Police Department","Blue Lives Matter"
"2021","Police Department","Brooklyn Islamic Center"
"2021","Police Department","Christian Cultural Center"
"2021","Police Department","Columbia Association"
"2021","Police Department","Daughters4Justice"
"2021","Police Department","Eagle Academy"
"2021","Police Department","Federal Drug Agents Foundation"
"2021","Police Department","Federal Law Enforcement Foundation"
"2021","Police Department","Federation of Protestant Welfare Agencies"
"2021","Police Department","First Responders Children’s Foundation"
"2021","Police Department","Flatbush Hatzalah"
"2021","Police Department","The Greater Harlem Chamber of Commerce"
"2021","Police Department","Harlem Mothers SAVE"
"2021","Police Department","Harvard Club of NY Foundation"
"2021","Police Department","Hotel Association of New York"
"2021","Police Department","International Association of Chiefs of Police"
"2021","Police Department","Jewish Community Relations Council of New York"
"2021","Police Department","The Junior Knicks League"
"2021","Police Department","Major City Chiefs Association"
"2021","Police Department","Metro Industrial Areas Foundation"
"2021","Police Department","Mutual of America Champions for Quality Education"
"2021","Police Department","National Action Network"
"2021","Police Department","National Law Enforcement Officers Memorial Museum"
"2021","Police Department","National Police Defense Foundation"
"2021","Police Department","National Urban League"
"2021","Police Department","NYC Law Enforcement Explorers"
"2021","Police Department","NYC Police Anchor Club"
"2021","Police Department","New York City Police Foundation"
"2021","Police Department","NY Centurion Foundation"
"2021","Police Department","NY Police & Fire Widows’ & Children’s Benefit Fund"
"2021","Police Department","New York State Association of Chiefs of Police, Inc."
"2021","Police Department","NY Urban League"
"2021","Police Department","Police Athletic League"
"2021","Police Department","Police Executive Research Forum"
"2021","Police Department","Rabbinical Alliance of America"
"2021","Police Department","RAND Corporation"
"2021","Police Department","Robin Hood Foundation"
"2021","Police Department","Silver Shield Foundation"
"2021","Police Department","Staten Island Chamber of Commerce"
"2021","Police Department","Throggs Neck Resident Council"
"2021","Police Department","Tri-State Law Enforcement Foundation"
"2021","Police Department","Tunnels to Towers Foundation"
"2021","Police Department","US Army War College"
"2021","Police Department","Van Duzer Civic Association"
"2021","Police Department","WVI Dolphin Foundation"
"2021","Police Department","American Cancer Society"
"2021","Police Pension Fund","No organizations to report"
"2021","Probation (Department of)","Youth Hope Foundation"
"2021","Public Advocate","No organizations to report"
"2021","Records (Department of)","New York Archival Society"
"2021","Rent Guidelines Board","No organizations to report"
"2021","Sanitation (Department of)","Sanitation Foundation"
"2021","School Construction Authority","No organizations to report"
"2021","Small Business Services (Department of)","NYC Business Assistance Corporation (NYBAC)"
"2021","Special Commissioner of Investigation, NYC Schoools","No organizations to report"
"2021","Taxi and Limousine Commission","No organizations to report"
"2021","Teachers’ Retirement System","No organizations to report"
"2021","Technology and Innovation (Office)","No donations to report"
"2021","Transportation (Department of)","No donations to report"
"2021","Veteran's Services (Department of)","Black Veterans for Social Justice"
"2021","Veteran's Services (Department of)","The Campaign Against Hunger"
"2021","Water Board","No organizations to report"
"2021","Youth and Community Development (Department of)","No organizations to report"
"2022","Actuary (Office of)","No organizations to report"
"2022","Administration for Children's Services","Abbott House"
"2022","Administration for Children's Services","Anthos Home"
"2022","Administration for Children's Services","Center For Community Alternatives"
"2022","Administration for Children's Services","Center for Justice Innovation"
"2022","Administration for Children's Services","Children's Village"
"2022","Administration for Children's Services","City College of New York"
"2022","Administration for Children's Services","Drama Club"
"2022","Administration for Children's Services","MercyFirst"
"2022","Administration for Children's Services","Mount Sinai"
"2022","Administration for Children's Services","National Center for Missing & Exploited Children"
"2022","Administration for Children's Services","New Alternatives for Children"
"2022","Administration for Children's Services","The New York Academy of Medicine"
"2022","Administration for Children's Services","NYSPCC"
"2022","Administration for Children's Services","NYU Langone"
"2022","Administration for Children's Services","Public Policy Lab"
"2022","Administration for Children's Services","Rising Ground"
"2022","Administration for Children's Services","Sanctuary for Families"
"2022","Administration for Children's Services","Sheltering Arms"
"2022","Administration for Children's Services","SCO"
"2022","Administration for Children's Services","SoBro"
"2022","Administration for Children's Services","Workforce Professionals Traning Institute"
"2022","Administration for Children's Services","YAI"
"2022","Administrative Tax Appeals (Office of)","No organizations to report"
"2022","Administrative Trials and Hearings (Office of)","No organizations to report"
"2022","Aging (Department for the)","Brookdale Foundation"
"2022","Aging (Department for the)","Mother Cabrini Health Foundation"
"2022","Aging (Department for the)","NYS Health Foundation"
"2022","Aging (Department for the)","AARP"
"2022","Board of Correction","No organizations to report"
"2022","Board of Education Retirement System","No organizations to report"
"2022","Board of Elections","No organizations to report"
"2022","Board of Standards and Appeals","No organizations to report"
"2022","Borough President - Bronx","No organizations to report"
"2022","Borough President - Brooklyn","Brooklyn For All, Inc."
"2022","Borough President - Manhattan","WE ACT"
"2022","Borough President - Manhattan","Cayuga Centers"
"2022","Borough President - Manhattan","Museum of Chinese in America"
"2022","Borough President - Manhattan","Chinese-American Planning Council"
"2022","Borough President - Manhattan","Bethany Baptist Church"
"2022","Borough President - Manhattan","Orchestra of St. Luke"
"2022","Borough President - Manhattan","Chinatown Manpower Project (CMP)"
"2022","Borough President - Manhattan","Concerts in Motion"
"2022","Borough President - Manhattan","China Institute"
"2022","Borough President - Manhattan","National Organization of Italian American Women"
"2022","Borough President - Manhattan","Harlem Congregations for Community Improvements"
"2022","Borough President - Manhattan","Stuyvesant High School Parents' Association"
"2022","Borough President - Manhattan","Ice Theater of New York"
"2022","Borough President - Manhattan","Women in Tourism"
"2022","Borough President - Manhattan","Touro University"
"2022","Borough President - Manhattan","Black Caucus of the Council for School Supervisors and Administrators"
"2022","Borough President - Manhattan","NYC Multicultural Festival"
"2022","Borough President - Manhattan","Mount Pleasant Christian Academy International"
"2022","Borough President - Manhattan","People Against Landlord Abuse & Tenant Exploitation (P.A.' L.A.N.T.E.)"
"2022","Borough President - Manhattan","Liberian Community Association of New York"
"2022","Borough President - Manhattan","Dominican Day Parade"
"2022","Borough President - Manhattan","Dominican Bar Association"
"2022","Borough President - Manhattan","Gramercy Brass Orchestra"
"2022","Borough President - Manhattan","Roberto Clemente Foundation"
"2022","Borough President - Manhattan","Hope Community Inc."
"2022","Borough President - Manhattan","Bangladeshi Immigrant Day and Trade Fair"
"2022","Borough President - Manhattan","Hamilton-Madison House"
"2022","Borough President - Manhattan","Chelsea Film Festival"
"2022","Borough President - Manhattan","Hellenic American Neighborhood Action Committee (HANAC)"
"2022","Borough President - Manhattan","VNS Health"
"2022","Borough President - Manhattan","New York Women Chamber of Commerce"
"2022","Borough President - Manhattan","American Hotel Owners Charitable Association"
"2022","Borough President - Manhattan","Theatre Now New York"
"2022","Borough President - Manhattan","Harlem Renaissance Classic"
"2022","Borough President - Manhattan","Ryan Health"
"2022","Borough President - Manhattan","New York Immigration Coalition"
"2022","Borough President - Manhattan","Hispanic Society Library and Museum"
"2022","Borough President - Manhattan","Fidelity Foundation"
"2022","Borough President - Manhattan","Alliance for Positive Change"
"2022","Borough President - Manhattan","Mount Sinai Hospital"
"2022","Borough President - Manhattan","Intrepid Museum"
"2022","Borough President - Manhattan","Met Opera"
"2022","Borough President - Manhattan","Riverstone Senior Services"
"2022","Borough President - Manhattan","Dances for a Variable Population"
"2022","Borough President - Manhattan","Harlem Stage"
"2022","Borough President - Manhattan","Fresh Youth Initiative"
"2022","Borough President - Manhattan","Visual Arts Research and Resource Center Relating to the Caribbean, Inc. d/b/a Caribbean Cultural Center African Diaspora Institute (CCCADI)"
"2022","Borough President - Manhattan","Hudson Guild"
"2022","Borough President - Manhattan","The Community Initiatives of New York"
"2022","Borough President - Manhattan","Fortune Society"
"2022","Borough President - Manhattan","Manhattan School of Music"
"2022","Borough President - Manhattan","Norther Manhattan Improvement Coroporation"
"2022","Borough President - Manhattan","Randall's Island Park Alliance"
"2022","Borough President - Manhattan","Billion Oyster Project"
"2022","Borough President - Manhattan","Community Research for Urban Science and Health"
"2022","Borough President - Manhattan","Muslim Community Network Supporters"
"2022","Borough President - Manhattan","Trust for Governor's Island"
"2022","Borough President - Manhattan","Westbeth Artist Housing"
"2022","Borough President - Manhattan","Japanese American Social Services Inc."
"2022","Borough President - Manhattan","Vineyard Theater"
"2022","Borough President - Manhattan","National Black Theatre"
"2022","Borough President - Manhattan","Clemente Foundation"
"2022","Borough President - Manhattan","BetaNYC"
"2022","Borough President - Manhattan","Goddard Riverside Benefits NYC"
"2022","Borough President - Manhattan","United Jewish Council of the East Side"
"2022","Borough President - Manhattan","The New Jewish Home"
"2022","Borough President - Manhattan","Studio Museum of Harlem"
"2022","Borough President - Queens","Alliance for Flushing Meadows Corona Park"
"2022","Borough President - Queens","American Association of Bagladeshi Engineers & Architects"
"2022","Borough President - Queens","Carter Community AME Church"
"2022","Borough President - Queens","Center for the Women of New York"
"2022","Borough President - Queens","Center of Hope International"
"2022","Borough President - Queens","Chinese American Medical Society"
"2022","Borough President - Queens","Chinese American Planning Council"
"2022","Borough President - Queens","Chinese Business Association of New York"
"2022","Borough President - Queens","Chocolate Factory Theater"
"2022","Borough President - Queens","Comus Club"
"2022","Borough President - Queens","Elmcor Youth and Adult Activity"
"2022","Borough President - Queens","Federation of Organizations"
"2022","Borough President - Queens","Flushing Hospital Medical Center"
"2022","Borough President - Queens","Flushing Town Hall"
"2022","Borough President - Queens","Forest Hills Jewish Center"
"2022","Borough President - Queens","Fujian Association in USA"
"2022","Borough President - Queens","Garner Way Foundation"
"2022","Borough President - Queens","Glow Cultural Center"
"2022","Borough President - Queens","Grace Episcopal Church (Jamaica, NY)"
"2022","Borough President - Queens","Greater Jamaica Development Corporation"
"2022","Borough President - Queens","HANAC"
"2022","Borough President - Queens","Holy Cross High School"
"2022","Borough President - Queens","Holy Martyrs Armenian Day School"
"2022","Borough President - Queens","Italian Charities of America"
"2022","Borough President - Queens","Jack and Jill of America (Queens Chapter)"
"2022","Borough President - Queens","Jamaica Hospital Medical Center"
"2022","Borough President - Queens","Jewish Children's Museum"
"2022","Borough President - Queens","Jewish Community Relations Council of New York"
"2022","Borough President - Queens","Key Women of America"
"2022","Borough President - Queens","Korean American Association of Greater New York"
"2022","Borough President - Queens","Korean American Family Service Center"
"2022","Borough President - Queens","Korean American Lawyers Association of Greater New York"
"2022","Borough President - Queens","Latino Lawyer's Association of Queens County"
"2022","Borough President - Queens","Laurelton Memorial Day Parade Committee"
"2022","Borough President - Queens","Lions Club International (District 20-K1)"
"2022","Borough President - Queens","Louis Armstrong House Museum"
"2022","Borough President - Queens","Make the Road New York"
"2022","Borough President - Queens","MoMA PS1"
"2022","Borough President - Queens","MuseConnect"
"2022","Borough President - Queens","NAACP (Far Rockaway Branch)"
"2022","Borough President - Queens","National Sorority of Phi Delta Kappa. Inc., Beta Omicron Chapter"
"2022","Borough President - Queens","Neighborhood Housing Services of Queens, CDC"
"2022","Borough President - Queens","New York Annual Conference of the African Methodist Episcopal Church"
"2022","Borough President - Queens","New York Blood Center"
"2022","Borough President - Queens","New York Irish Center"
"2022","Borough President - Queens","Ozone Park Residents Block Association (OZPKRBA)"
"2022","Borough President - Queens","Philippine Independence Day Council"
"2022","Borough President - Queens","Queens County Farm Museum"
"2022","Borough President - Queens","Queens County Women's Bar Association"
"2022","Borough President - Queens","Queens Jewish Community Council"
"2022","Borough President - Queens","Queens Theatre"
"2022","Borough President - Queens","Rainbow/PUSH | Wall Street Project"
"2022","Borough President - Queens","Rockaway Development & Revitalization Corporation"
"2022","Borough President - Queens","Saint Sarkis Armenian Apostolic Church"
"2022","Borough President - Queens","Sanatan Sebashram Foundation"
"2022","Borough President - Queens","Shanghai Association of America"
"2022","Borough President - Queens","Socrates Sculpture Park"
"2022","Borough President - Queens","Swim Strong Foundation"
"2022","Borough President - Queens","The Laurelton Club (National Association of Negro Business and Professional Women's Clubs)"
"2022","Borough President - Queens","Touro University"
"2022","Borough President - Queens","United Community Church of God"
"2022","Borough President - Queens","Urban Upbound (East River Development Alliance)"
"2022","Borough President - Queens","Variety Boys & Girls Club of Queens"
"2022","Borough President - Queens","VNS Health"
"2022","Borough President - Queens","Wen Chow Association"
"2022","Borough President - Queens","Women's League for Conservative Judaism (BQLI Region)"
"2022","Borough President - Queens","Zeta Phi Beta Sorority, Inc., Phi Zeta Zeta Chapter"
"2022","Borough President - Staten Island","No organizations to report"
"2022","Buildings (Department of)","No organizations to report"
"2022","Business Integrity Commission","No organizations to report"
"2022","Campaign Finance Board","No organizations to report"
"2022","Chief Medical Examiner (Office of)","No organizations to report"
"2022","City Clerk (Office of)","No organizations to report"
"2022","City Council District 12 (Kevin Riley)","Young Mens Christian Association - North East Bronx"
"2022","City Council District 12 (Kevin Riley)","BRAATA Productions"
"2022","City Council District 12 (Kevin Riley)","Lehman Center for The Performing Arts"
"2022","City Council District 12 (Kevin Riley)","Mind Builders Creative Arts Center"
"2022","City Council District 12 (Kevin Riley)","Pelham Lodge 712 of The Beautiful Bronx District"
"2022","City Council District 12 (Kevin Riley)","Mayor's Fund to Advance New York City"
"2022","City Council District 12 (Kevin Riley)","Gambian Youth Organization"
"2022","City Council District 16 (Althea Stevens)","No organizations to report"
"2022","City Council District 2  (Carlina Rivera)","Henry Street Settlement"
"2022","City Council District 2  (Carlina Rivera)","Phipps Houses"
"2022","City Council District 2  (Carlina Rivera)","Upper West Side Open Hearts"
"2022","City Council District 20 (Sandra Ung)","GLOW Community Center, Inc."
"2022","City Council District 25 (Shekar Krishnan)","No organizations to report"
"2022","City Council District 27 (Nantasha Williams)","No organizations to report"
"2022","City Council District 28 (Adrienne Adams)","No organizations to report"
"2022","City Council District 33 (Lincoln Restler)","North Brooklyn Parks Alliance"
"2022","City Council District 33 (Lincoln Restler)","Gowanus Mutual Aid"
"2022","City Council District 33 (Lincoln Restler)","Brooklyn Heights Association"
"2022","City Council District 33 (Lincoln Restler)","572 Warren Street Tenant's Association Corp."
"2022","City Council District 33 (Lincoln Restler)","Berry So. 9th Street Houses Tenant's Association Inc."
"2022","City Council District 33 (Lincoln Restler)","5Boros Basketball"
"2022","City Council District 34 (Jennifer Gutiérrez)","No organizations to report"
"2022","City Council District 37 (Sandy Nurse)","Sure We Can"
"2022","City Council District 37 (Sandy Nurse)","Sustainable United Neighborhoods (SUN Brooklyn)"
"2022","City Council District 38 (Alexa Aviles)","Brooklyn Community Board 7"
"2022","City Council District 38 (Alexa Aviles)","Mural Justice Project"
"2022","City Council District 38 (Alexa Aviles)","Red Hook Lions club"
"2022","City Council District 38 (Alexa Aviles)","South Brooklyn Mutual Aid"
"2022","City Council District 46 ( Mercedes Narcisse)","No organizations to report"
"2022","City Council District 5 (Julie Menin)","No organizations to report"
"2022","City Council District 51 (Joseph Borelli)","No organizations to report"
"2022","City Councl District 7 (Shaun Abreu)","Hispanic Federation"
"2022","City Planning (Department of)","No organizations to report"
"2022","Citywide Administrative Services (Department of)","New York Blood Center"
"2022","Civil Engagement Commission","No organizations to report"
"2022","Civil Service Commission","No organizations to report"
"2022","Civilian Complaint Review Board","No organizations to report"
"2022","Collective Bargaining (Office of)","No organizations to report"
"2022","Comptroller","Interfaith Center of New York"
"2022","Comptroller","Mixteca Organization, Inc."
"2022","Comptroller","New York Immigration Coalition"
"2022","Comptroller","Chinese‐American Panning Council, Inc."
"2022","Comptroller","The Museum of Chinese in America"
"2022","Comptroller","UJA ‐ Federation of New York Wall Street Division"
"2022","Comptroller","UJA ‐ Federation of New York Wall Street Division"
"2022","Comptroller","Black Caucus of the Council of Supervisors and Administration"
"2022","Comptroller","Queens Jewish Community Council, Inc."
"2022","Comptroller","The Korea Times"
"2022","Comptroller","UJA ‐ Federation of New York Wall Street Division"
"2022","Comptroller","UJA ‐ Federation of New York Wall Street Division"
"2022","Comptroller","New York Buiilding Congress"
"2022","Comptroller","Jewish Women's Foundation of New York"
"2022","Comptroller","Brooklyn Collegiate High School"
"2022","Comptroller","Chinese American Medical Society"
"2022","Comptroller","CMP ‐ Chinatown Manpower Project, Inc."
"2022","Comptroller","Forest Hills Jewish Center"
"2022","Comptroller","Jewish Children's Museum"
"2022","Comptroller","Korean ‐ American Parents Association of Greater New York, Inc."
"2022","Comptroller","UJA ‐ Federation of New York Wall Street Division"
"2022","Comptroller","COJO Flatbush"
"2022","Comptroller","Homecrest Community Services, Inc."
"2022","Comptroller","HANAC"
"2022","Comptroller","Garibaldi‐Meucci Museum"
