"year","agency","name_of_not_for_profit"
"2019","Borough President - Queens","New York Building Congress 98th Anniversary Leadership Awards Luncheon"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Real Estate Division's Annual Lunchon"
"2019","Borough President - Queens","Apicha Community Health Center 29th Anniversary Benefit Gala ""A Thousand and One Champions"""
"2019","Borough President - Queens","Korean American Chamber of Commerce, USA Installation Ceremony of the 27th President"
"2019","Borough President - Queens","Van Nest Neighborhood Alliance 2019 Dinner"
"2019","Borough President - Queens","Korean-American Youth Foundation 26th Anniversary Gala"
"2019","Borough President - Queens","Korean Community Services of Metropolitan New York 30th Parents' Day Festival and Community Health Fair"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Life Insurance Division's Annual Breakfast"
"2019","Borough President - Queens","Chinese-American Planning Council Nan Shan Senior Center 31st Anniversary Fundrasing Banquet and Celebration"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Entertainment, Media & Communications Division Sports for Youth Group Annual Luncheon"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Lawyer's Division's 28th Annual Trusts & Estates Event"
"2019","Borough President - Queens","Korean American Physicians Independent Practice Association 2019 Health Fair and Gala"
"2019","Borough President - Queens","Local 372's 17th Annual Scholarship Dinner Dance"
"2019","Borough President - Queens","DOROT 43rd Annual Spring Benefit"
"2019","Borough President - Queens","Core Vision Foundation’s Entrepreneurship Award 2019 Celebration Iftar Party"
"2019","Borough President - Queens","Bukharian Times' 900th Issue"
"2019","Borough President - Queens","Laurelton Memorial Day Parade Committee 30th Annual Memorial Day Parade"
"2019","Borough President - Queens","Immigrant Social Services Gala"
"2019","Borough President - Queens","Housing & Family Services of Greater New York 48th Anniversary and 29th Awards Dinner"
"2019","Borough President - Queens","New York State Trial Lawyers Association 2019 Law Day Dinner"
"2019","Borough President - Queens","Brooklyn Pride 23rd Annual Pride Celebration"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Russian Division's Annual Signature Event"
